0.34	0.51	0.4	0.45	0.94	0.64	0.39	0.52	0.67	0.76	0.75	0.84	0.84	0.94	1.24	1.5	1.5	1.69	1.19	1.62	2	2.05	2.41	2.5	5.5	6.6	8.4	20
0.28	0.38	0.49	0.35	0.5	0.55	0.59	0.44	0.56	0.62	0.97	0.8	0.76	0.78	1.06	1.38	1.38	1.19	1.2	1.59	1.45	2.09	3.08	1.3	3.7	4.5	10.5	11
0.31	0.41	0.44	0.44	0.44	0.5	0.67	0.52	0.39	0.53	0.71	0.87	0.89	0.95	0.77	1	1	1.46	0.75	1.16	1.94	1.48	2.15	2.05	2.5	5.6	6.4	13
0.26	0.49	0.51	0.64	0.51	0.49	0.44	0.66	0.67	0.75	0.45	0.82	0.87	1.09	1.24	1.13	1.13	1.69	1.82	158	12.07	1.74	2	2.1	5.4	7.4	11.7	10
0.39	0.41	0.63	0.43	0.6	0.35	0.55	0.54	0.74	0.68	0.71	0.62	1.06	0.95	1.13	0.89	0.89	1.24	1.14	1.4	1.3	2.33	2.17	3.3	3.8	6.4	7.6	10
0.43	0.41	0.42	0.48	0.35	0.49	0.57	0.57	0.82	0.63	0.68	0.88	0.97	0.81	0.95	1.02	1.02	1.09	1.28	1.57	1.98	2.1	1.8	3.3	2.6	7.2	11.9	16
0.39	0.35	0.41	0.56	0.36	0.53	0.63	0.78	0.65	0.64	0.69	0.57	0.77	0.93	1.14	0.83	0.83	1.26	1.04	1.9	1.47	1.76	3.5	2.6	3.1	7.7	9.4	21
0.38	51	0.37	0.48	0.26	0.45	0.39	0.602	0.63	0.65	0.67	0.63	0.8	0.82	0.71	0.98	0.98	1.16	13	1.46	1.54	2.8	2.8	4.6	3.4	4.5	7.9	120
0.43	0.42	0.6	0.5	0.42	0.3	0.46	0.55	0.69	0.37	78	0.79	0.79	0.9	0.67	0.7	0.7	1.35	1.45	1.42	1.29	0.91	2.3	2.5	4.2	6.1	1.36	5
0.59	0.46	0.37	0.33	0.56	0.32	0.48	0.43	0.66	0.63	0.59	0.54	0.73	0.99	0.78	1.09	1.09	1.02	124	1.16	1.49	1.8	2.07	5	3.6	6	10.5	22
